OverallQual,GrLivArea,Neighborhood,YearBuilt,GarageCars,SalePrice
5,840,OldTown,1930,0,87000
6,1348,NAmes,1966,2,155000
5,1053,NAmes,1958,2,150000
7,2157,NAmes,1966,2,226000
6,2054,Gilbert,2000,2,244000
5,1327,NAmes,1959,2,150750
8,1296,Timber,2001,2,220000
5,1721,Sawyer,1968,2,180000
7,1682,NWAmes,1970,2,174000
5,1214,NAmes,1967,1,143000
7,1959,Mitchel,1988,3,171000
8,1852,CollgCr,1999,3,230000
6,1764,CollgCr,1997,2,231500
4,864,NAmes,1971,0,115000
7,1734,CollgCr,2005,2,260000
5,1385,NAmes,1952,2,166000
7,1501,CollgCr,1999,2,204000
5,1728,Sawyer,1963,2,125000
6,1709,Edwards,2004,2,130000
5,875,BrkSide,1931,1,105000
7,2035,Gilbert,2001,2,222500
7,1080,SawyerW,2004,0,141000
5,1344,BrkSide,1936,1,115000
5,969,CollgCr,1975,2,122000
8,1710,NridgHt,2007,3,372402
6,1993,NWAmes,1971,2,190000
6,1252,ClearCr,1960,2,235000
6,1200,OldTown,1923,1,125000
6,1096,Edwards,1924,0,79000
5,1040,NAmes,1950,2,109500
8,1968,Timber,2009,3,269500
7,1947,Somerst,2004,2,254900
7,2462,Gilbert,2005,2,320000
6,1232,Veenker,1984,2,162500
9,2668,NridgHt,2003,3,412500
7,1541,NridgHt,2005,2,220000
4,882,OldTown,1956,0,103200
6,1616,OldTown,1926,1,152000
5,1355,Edwards,1940,0,127500
5,1867,ClearCr,1955,1,190000
8,2161,NridgHt,2007,3,325624
7,1720,Gilbert,2004,2,183500
8,1707,Timber,1981,2,228000
5,1382,OldTown,1941,2,128500
6,1656,NAmes,1960,2,215000
7,1767,StoneBr,1987,2,239000
6,1362,NAmes,1961,2,163000
6,1651,Timber,1986,2,184000
6,2158,Edwards,1950,2,243000
6,2060,ClearCr,1988,2,211000
5,1920,Sawyer,1958,2,172500
9,2234,StoneBr,2008,3,501837
5,968,OldTown,1923,2,100000
6,1525,Somerst,2000,2,177000
7,1802,Crawfor,1920,1,200100
5,1340,Edwards,1957,1,120000
7,2082,OldTown,2003,2,200000
5,1252,BrkSide,1908,2,127000
10,3608,OldTown,1892,3,475000
7,1217,Mitchel,1990,2,173000
5,1656,OldTown,1916,1,135000
5,1224,SawyerW,1979,2,153337
8,1593,StoneBr,2001,2,286000
8,2727,Crawfor,1932,2,315000
7,1479,NAmes,1972,2,184000
7,1431,CollgCr,1999,2,192000
7,1709,Edwards,2004,2,130000
5,864,CollgCr,1972,1,127000
6,1456,NPkVill,1976,2,148500
7,1726,Somerst,2007,3,311872
8,3112,NAmes,1918,2,235000
6,2229,OldTown,1912,0,104000
8,1713,NridgHt,2004,3,274900
4,1121,Edwards,2003,2,140000
6,1279,Mitchel,1977,2,171500
6,1310,OldTown,1924,1,112000
6,848,CollgCr,2004,2,149000
5,1284,OldTown,1947,1,110000
7,1442,Gilbert,1990,2,180500
5,1696,Sawyer,1962,1,143900
4,1100,NAmes,1960,1,141000
7,2062,SawyerW,1988,2,277000
6,1092,NAmes,1964,2,145000
5,864,Edwards,1925,0,98000
6,1212,Edwards,2009,2,186000
7,1852,Somerst,2009,2,252678
5,990,CollgCr,1995,2,156000
6,1392,CollgCr,1977,1,161750
5,1236,NAmes,1957,1,134450
7,1436,CollgCr,2004,2,210000
4,1328,OldTown,1925,1,107000
7,1954,Crawfor,1939,2,311500
7,1248,Blmngtn,2005,2,167240
7,1498,CollgCr,2006,2,204900
6,2267,Gilbert,2002,2,200000
6,1552,NWAmes,1975,2,179900
4,864,NAmes,1971,2,97000
10,2392,NridgHt,2003,3,386250
5,1302,BrDale,1971,1,112000
7,2520,NoRidge,1995,3,290000
6,987,BrDale,1970,1,106000
5,912,Sawyer,1967,1,125000
7,1555,Blmngtn,2005,2,192500
6,1194,NAmes,1959,1,148000
8,2794,NoRidge,1995,3,403000
6,987,BrDale,1972,1,94500
5,894,CollgCr,1976,1,128200
6,1960,Gilbert,2002,2,216500
6,987,BrDale,1971,1,89500
7,1414,CollgCr,2004,2,185500
7,1744,SawyerW,1993,2,194500
8,1694,NridgHt,2007,3,318000
6,1487,Edwards,1945,1,113000
8,1566,Somerst,2008,2,262500
5,866,OldTown,1945,0,110500
5,1440,OldTown,1900,1,79000
6,1217,SawyerW,1980,1,120000
7,2110,SawyerW,1994,2,205000
7,1872,NWAmes,1988,2,241500
6,1928,OldTown,1910,1,137000
6,1375,NAmes,1954,2,140000
7,1668,CollgCr,2003,2,180000
6,2144,ClearCr,1958,2,277000
3,1306,BrkSide,1940,0,76500
8,1625,Crawfor,2006,2,235000
6,1640,SawyerW,2004,2,173000
6,1302,NAmes,1964,1,158000
5,1314,NAmes,1957,1,145000
7,2291,Gilbert,1999,2,230000
6,1728,Somerst,2003,2,207500
7,1604,CollgCr,2006,2,220000
7,1792,CollgCr,2001,2,231500
5,882,OldTown,1956,1,97000
6,1382,NAmes,1962,2,176000
8,2574,CollgCr,2007,3,276000
6,1212,Sawyer,1977,2,151000
5,1316,OldTown,1929,2,130000
5,764,OldTown,1925,2,73000
6,1422,NWAmes,1981,2,175500
6,1511,Gilbert,1997,2,185000
5,2192,SWISU,1939,1,179500
5,778,IDOTRR,1940,1,120500
6,1113,Edwards,1976,1,148000
8,1939,Somerst,2006,3,266000
7,1363,ClearCr,1954,2,241500
8,2270,NoRidge,1999,3,290000
6,1632,NAmes,1958,1,139000
5,816,Mitchel,1982,1,124500
7,1548,BrkSide,1925,2,205000
7,1560,Mitchel,2003,2,201000
4,864,Gilbert,1951,2,141000
9,2121,NridgHt,2006,3,415298
7,2022,ClearCr,1977,2,192000
7,1982,SawyerW,1989,2,228500
6,1262,Somerst,2006,2,185000
7,1314,NridgHt,2007,2,207500
8,1468,Somerst,2008,3,244600
6,1575,SawyerW,1992,2,179200
7,1250,Somerst,2006,2,164700
6,1734,NAmes,1962,2,159000
4,858,NAmes,1971,0,88000
5,900,Sawyer,1967,1,122000
6,1396,BrkSide,1915,1,153575
8,1919,CollgCr,2006,2,233230
5,1716,SWISU,1912,0,135900
5,1716,Edwards,1949,1,131000
7,2263,NWAmes,1977,2,235000
6,1644,NAmes,1953,2,167000
6,1003,Mitchel,1984,2,142500
5,1558,IDOTRR,1950,1,152000
7,1950,Somerst,1997,2,239000
6,1743,NWAmes,1968,2,175000
6,1152,Crawfor,1950,1,158500
5,1336,Crawfor,1953,1,157000
8,2452,CollgCr,1998,2,267000
7,1541,CollgCr,2001,3,205000
5,894,CollgCr,1972,2,149900
7,3493,OldTown,1880,3,295000
8,2000,CollgCr,2004,3,305900
7,2243,SawyerW,1990,3,225000
6,1406,IDOTRR,1920,0,89500
4,861,Edwards,1940,2,82500
9,1944,NridgHt,2003,3,360000
6,1501,Gilbert,1993,2,165600
6,972,NAmes,1948,1,132000
5,1118,OldTown,1939,2,119900
7,2036,Timber,1965,2,375000
7,1641,OldTown,1925,2,178000
7,1432,Gilbert,2004,2,188500
7,2353,NWAmes,1980,2,260000
8,1959,Somerst,2006,3,270000
7,2646,NoRidge,1993,3,260000
7,1472,NWAmes,1980,2,187500
9,2596,NridgHt,2006,3,342643
8,2468,NridgHt,2004,3,354000
7,2730,SawyerW,1986,2,301000
3,1163,OldTown,1955,1,126175
7,2978,NAmes,1967,2,242000
5,803,IDOTRR,1941,2,87000
8,1719,Veenker,1993,2,324000
6,1383,NAmes,1960,1,145250
6,2134,BrkSide,1916,2,214500
5,1192,IDOTRR,1920,1,78000
5,1728,NAmes,1964,1,119000
5,1056,NAmes,1958,1,139000
8,1629,NridgHt,2003,3,284000
7,1358,NridgHt,2004,2,207000
6,1638,Gilbert,1998,2,192000
5,1786,Timber,1965,2,228950
9,1922,StoneBr,2005,3,377426
7,1536,CollgCr,2002,2,214000
7,1621,NWAmes,1984,2,202500
6,1215,NAmes,1958,1,155000
8,1908,Timber,2002,2,202900
4,841,SawyerW,1950,1,82000
3,1040,NAmes,1949,2,87500
9,1684,NridgHt,2005,2,266000
5,1112,MeadowV,1976,1,85000
6,1577,BrkSide,1939,1,140200
6,958,NAmes,1960,1,151500
6,1478,NAmes,1960,2,157500
7,1626,NridgHt,2003,2,154000
9,2728,NridgHt,2005,3,437154
9,1869,NridgHt,2007,2,318061
7,1453,ClearCr,1986,2,190000
5,1111,Edwards,1941,1,95000
6,720,OldTown,1928,2,105900
6,1595,SWISU,1940,1,140000
6,1200,CollgCr,1995,2,177500
6,1167,Gilbert,1992,2,173000
5,1142,MeadowV,1976,2,134000
5,1352,ClearCr,1958,1,130000
8,1924,NoRidge,1998,2,280000
6,912,Mitchel,1978,2,156000
5,1505,BrkSide,1940,1,145000
7,1922,Edwards,2003,2,198500
6,987,BrDale,1972,1,118000
6,1574,NWAmes,1976,2,190000
5,1344,IDOTRR,1920,1,147000
6,1394,NAmes,1963,2,159000
6,1431,NAmes,1962,1,165000
5,1268,NAmes,1954,1,132000
5,1287,NAmes,1959,2,162000
6,1664,Gilbert,2000,2,172400
4,1588,ClearCr,1959,2,134432
6,752,SawyerW,1984,1,125000
5,1319,NAmes,1953,1,123000
7,1928,CollgCr,2003,2,219500
1,904,Edwards,1922,0,61000
5,914,CollgCr,1996,2,148000
8,2466,Somerst,2004,2,340000
9,1856,StoneBr,2010,3,394432
6,1800,Gilbert,2000,2,179000
5,1691,SWISU,1924,1,127000
7,1301,Somerst,2006,2,187750
7,1797,CollgCr,2006,2,213500
6,784,SawyerW,1928,2,76000
6,1953,ClearCr,1992,2,240000
8,1269,Blmngtn,2004,2,192000
5,1184,Edwards,1910,0,81000
6,1125,Edwards,1976,1,125000
7,1479,CollgCr,1999,2,191000
10,2332,NridgHt,2007,3,426000
5,1367,Edwards,1900,1,119000
6,1961,Mitchel,2001,2,215000
5,882,NAmes,1959,1,106500
4,788,BrkSide,1941,0,100000
5,1034,OldTown,1940,1,109000
5,1144,Edwards,1956,1,129000
5,894,CollgCr,1972,2,123000
5,1812,NAmes,1962,1,169500
5,1077,IDOTRR,1920,1,67000
7,1550,Somerst,2006,2,241000
8,1288,Veenker,1996,2,245500
7,1310,CollgCr,2005,2,164990
5,672,Sawyer,1940,1,108000
8,2263,NoRidge,1998,2,258000
6,1572,Gilbert,1995,2,168000
4,1620,Sawyer,1976,2,150000
6,1639,SWISU,1936,1,115000
6,1680,Crawfor,1915,1,177000
7,2172,NridgHt,2006,3,280000
8,2078,Somerst,2007,3,339750
5,1276,Edwards,1958,1,60000
5,1056,Gilbert,1955,2,145000
7,1478,Somerst,2009,2,222000
5,1028,OldTown,1927,2,115000
7,2097,SawyerW,1993,3,228000
7,1340,Gilbert,2007,2,181134
6,1400,Sawyer,1978,2,149500
6,2624,Crawfor,1918,3,239000
5,1134,Edwards,1940,1,126000
5,1056,NAmes,1968,1,142000
7,1344,Mitchel,1997,4,206300
6,1602,NWAmes,1977,2,215000
5,988,Mitchel,1954,2,113000
8,2630,NoRidge,1998,3,315000
6,1196,NAmes,1956,1,139000
7,1389,OldTown,1946,1,135000
7,1644,SawyerW,1989,2,275000
4,907,NAmes,1957,1,109008
7,1208,CollgCr,2007,2,195400
6,1412,Timber,1988,2,175000
6,987,BrDale,1971,1,85400
6,1198,OldTown,1920,0,79900
5,1365,BrDale,1971,2,122500
6,1604,Gilbert,1997,2,181000
4,630,MeadowV,1972,0,81000
7,1661,CollgCr,1996,2,212000
6,1118,OldTown,1920,2,116000
6,904,BrkSide,1926,1,119000
5,694,Crawfor,1913,1,90350
6,1196,Edwards,1920,2,110000
10,2402,NridgHt,2008,3,555000
4,1440,Edwards,1955,0,118000
5,1573,BrkSide,1930,2,162900
7,1258,Blmngtn,2006,3,172500
7,1908,CollgCr,1994,2,210000
6,1689,Edwards,1956,2,127500
6,1888,NAmes,1966,2,190000
7,1886,Gilbert,1998,2,199900
6,1376,IDOTRR,1937,1,119500
3,1183,OldTown,1948,1,120000
6,813,OldTown,1930,1,110000
7,1533,ClearCr,1975,2,280000
6,1756,Timber,1996,2,204000
8,1590,Somerst,2008,2,210000
5,1728,Mitchel,1976,2,188000
7,1242,NWAmes,1973,2,175500
5,1344,OldTown,1916,3,98000
4,1663,ClearCr,1954,2,256000
8,1666,OldTown,1925,1,161000
5,1203,BrkSide,1950,1,110000
8,1935,Somerst,2009,2,263435
7,1135,SWISU,1936,2,155000
5,864,Sawyer,1965,1,62383
6,1660,Crawfor,1934,1,188700
5,1040,CollgCr,1978,0,124000
7,1414,Blmngtn,2004,2,178740
7,1277,NAmes,1970,2,167000
5,1644,NAmes,1942,1,146500
8,1634,NridgHt,2006,3,250000
6,1710,SawyerW,1993,2,187000
8,1502,StoneBr,1985,2,212000
7,1969,NWAmes,1977,2,190000
6,1072,Edwards,2005,2,148000
8,1976,NridgHt,2006,3,440000
8,1652,StoneBr,2000,2,251000
5,970,Sawyer,1963,2,132500
6,1493,CollgCr,1997,2,208900
9,2643,NridgHt,2006,3,380000
8,1718,CollgCr,2007,3,297000
4,1131,OldTown,1937,2,89471
9,1850,NridgHt,2004,3,326000
9,1792,NridgHt,2003,3,374000
7,1826,OldTown,1915,1,155000
6,1216,Mitchel,1998,2,164000
5,999,Sawyer,1962,1,132500
5,1113,NAmes,1950,1,147000
5,1073,NAmes,1965,2,156000
5,1484,NWAmes,1971,2,175000
5,2414,OldTown,1900,2,160000
4,630,MeadowV,1970,1,86000
5,1304,MeadowV,1976,1,115000
6,1578,NAmes,1941,1,133000
6,1456,Gilbert,2006,2,172785
5,1269,NAmes,1960,1,155000
5,886,OldTown,1938,1,91300
4,720,IDOTRR,1920,0,34900
8,3228,NoRidge,1992,2,430000
7,1820,BrkSide,1925,1,184000
5,899,Sawyer,1967,1,130000
5,912,NAmes,1958,1,120000
6,1218,BrDale,1973,1,113000
7,1768,Somerst,2005,2,226700
5,1214,Edwards,1965,2,140000
7,1801,Crawfor,1959,2,289000
6,1322,NPkVill,1974,2,147000
5,1960,OldTown,1952,2,124500
8,1911,SawyerW,1993,2,215000
6,1218,Somerst,2009,2,208300
7,1378,OldTown,1928,2,161000
5,1041,NAmes,1959,1,124500
5,1363,NAmes,1951,1,164900
7,1368,NridgHt,2005,2,202665
5,864,NAmes,1958,2,129900
6,1080,Mitchel,1983,2,134000
5,789,Crawfor,1926,1,96500
10,2020,NridgHt,2009,3,402861
6,2119,NWAmes,1972,2,158000
7,2344,NoRidge,1996,3,265000
6,1796,CollgCr,1998,2,211000
7,2080,Crawfor,1926,1,234000
4,1294,OldTown,1900,0,106250
6,1244,NAmes,1957,1,150000
6,1664,BrkSide,1947,2,159000
10,4676,Edwards,2007,3,184750
7,2398,NoRidge,1996,3,315750
7,1266,Somerst,2005,2,176000
5,928,NAmes,1956,1,132000
9,2713,NridgHt,2008,3,446261
4,605,Edwards,1920,0,86000
6,2515,Crawfor,1957,2,200624
6,1509,Timber,1988,2,175000
6,1362,BrkSide,1920,2,128000
5,827,NAmes,1955,1,107500
1,334,BrkSide,1946,0,39300
8,1414,Gilbert,2004,2,178000
5,1347,Edwards,1910,0,107500
7,1724,CollgCr,1998,2,188000
4,864,NAmes,1972,2,111250
5,1159,Sawyer,1968,1,158000
8,1601,CollgCr,2001,2,272000
9,1838,Timber,2006,3,315000
8,2285,NoRidge,2000,3,248000
7,1680,NWAmes,1998,2,213250
7,767,NAmes,1998,1,133000
7,1496,Gilbert,2006,2,179665
7,2183,NWAmes,1988,3,229000
6,1635,BrkSide,1923,2,210000
5,768,Mitchel,1970,2,129500
5,825,OldTown,1955,2,125000
7,2094,Somerst,2003,2,263000
6,1069,NPkVill,1977,2,140000
5,928,OldTown,1957,1,112500
8,1717,NridgHt,2006,3,255500
4,1126,Edwards,1949,2,108000
7,2046,NridgHt,2003,3,284000
5,1048,BrkSide,1922,1,113000
5,1092,NAmes,1957,1,141000
4,1336,IDOTRR,1920,1,108000
7,1446,Gilbert,1996,2,175000
7,1557,Blmngtn,2003,2,234000
5,1392,Sawyer,1957,2,121500
5,1389,Mitchel,1974,2,170000
5,996,Edwards,1940,0,108000
6,1674,Edwards,1918,2,185000
7,2295,NoRidge,1992,2,268000
6,1647,SWISU,1915,1,128000
9,2504,StoneBr,2005,3,325000
7,1535,NridgHt,2004,2,214000
8,2132,SawyerW,1983,2,316600
5,943,NAmes,1979,2,135960
5,1728,NAmes,1965,2,142600
6,864,NAmes,1959,1,120000
7,1692,Timber,2009,2,224500
7,1430,Gilbert,2000,2,170000
5,1109,NAmes,1971,1,139000
5,1216,NAmes,1947,1,118500
7,1477,SWISU,1928,1,145000
5,1320,Sawyer,1966,2,164500
7,1392,Somerst,2007,2,146000
5,1795,OldTown,1954,1,131500
6,1429,NAmes,1960,2,181900
8,2042,NridgHt,2008,3,253293
6,816,Edwards,1990,0,118500
10,2775,OldTown,1893,2,325000
4,1573,BrkSide,1935,1,133000
8,2028,Timber,2005,3,369900
6,838,BrkSide,1918,1,130000
5,860,Sawyer,1982,2,137000
5,1473,ClearCr,1968,1,143000
5,935,BrkSide,1930,1,79500
7,1582,CollgCr,2004,2,185900
10,2296,NridgHt,2008,3,451950
5,816,Mitchel,1982,2,138000
6,848,CollgCr,2003,2,140000
5,924,CollgCr,1975,1,110000
8,1826,StoneBr,2005,3,319000
6,1368,OldTown,1910,1,114504
7,1402,Blmngtn,2006,3,194201
5,1647,Crawfor,1977,2,217500
6,1556,Blueste,1980,2,151000
8,1904,NridgHt,2005,2,275000
6,1375,IDOTRR,1937,1,141000
8,1915,SawyerW,1992,2,220000
7,1200,Somerst,2004,2,151000
7,1494,CollgCr,2002,2,221000
7,1986,NAmes,1965,2,205000
5,1040,CollgCr,1996,2,152000
5,2008,Edwards,1948,1,225000
8,3194,Crawfor,1934,2,359100
4,1029,Sawyer,1961,1,118500
9,2153,CollgCr,2000,3,313000
6,1032,NWAmes,1978,2,148000
8,1872,CollgCr,2001,2,261500
5,1120,Mitchel,2007,0,147000
4,630,MeadowV,1972,0,75500
6,1054,NAmes,1963,2,137500
6,1509,Gilbert,2002,2,183200
6,832,NAmes,1954,2,105500
9,1828,NridgHt,2007,3,314813
8,2262,Timber,2003,3,305000
3,864,Edwards,1914,0,67000
6,2614,NWAmes,1974,2,240000
5,980,Sawyer,1977,2,135000
6,1512,Somerst,2000,2,168500
6,1790,NWAmes,1972,2,165150
6,1116,NAmes,1962,2,160000
5,1422,NAmes,1960,1,139900
6,1520,NAmes,1955,1,153000
5,2080,NAmes,1969,2,135000
6,1350,NAmes,1964,2,168500
5,1750,OldTown,1880,1,124000
8,1554,NridgHt,2006,2,209500
7,1411,NWAmes,1977,2,82500
5,1056,NAmes,1954,1,139400
6,1056,OldTown,1980,2,144000
6,3395,SWISU,1914,0,200000
2,800,BrkSide,1936,0,60000
5,1387,OldTown,1954,1,93000
5,796,Edwards,1910,0,85000
8,1567,Blmngtn,2006,3,264561
8,1518,NridgHt,2003,2,274000
7,1929,Somerst,2001,2,226000
8,2704,NAmes,1972,2,345000
5,1620,NWAmes,1969,2,152000
9,1766,Somerst,2009,3,370878
6,981,NAmes,1971,2,143250
5,1048,NAmes,1950,2,98300
6,1094,Edwards,1953,2,155000
6,1839,NAmes,1966,2,155000
4,630,MeadowV,1970,0,84500
7,1665,Somerst,2007,2,205950
4,1510,Edwards,1940,1,108000
7,1716,CollgCr,1996,2,191000
6,1469,IDOTRR,1906,1,135000
8,2113,NoRidge,1995,3,350000
6,1092,BrDale,1971,1,88000
5,1053,NAmes,1959,1,145500
7,1502,Crawfor,1931,1,149000
6,1458,NAmes,1948,1,97500
5,1486,Edwards,1964,2,167000
7,1935,NWAmes,1976,2,197900
8,2448,NoRidge,1994,3,402000
6,1392,NAmes,1968,2,110000
4,1181,Edwards,1972,2,137500
8,2097,Somerst,2005,3,423000
8,1936,Gilbert,2000,2,230500
6,2380,NAmes,1965,2,129000
6,1679,SawyerW,1994,2,193500
5,1437,Sawyer,1956,2,168000
4,1180,Crawfor,1922,1,137500
6,1476,CollgCr,2005,2,173500
6,1369,Edwards,1925,1,103600
6,1208,Veenker,1977,2,165000
6,1839,Crawfor,1957,2,257500
6,1136,NAmes,1965,1,140000
6,1441,NPkVill,1978,2,148500
4,1774,OldTown,1900,3,87000
5,792,OldTown,1924,1,109500
8,2046,StoneBr,2008,3,372500
5,988,Sawyer,1961,2,128500
6,923,SawyerW,1980,1,143000
5,1520,SWISU,1932,1,159434
6,1291,ClearCr,1996,2,173000
9,1668,CollgCr,2002,3,285000
7,1839,NoRidge,1998,2,221000
7,2090,StoneBr,1984,2,207500
7,1761,Somerst,2007,2,227875
7,1102,Somerst,2004,2,148800
8,1419,StoneBr,2007,2,392000
6,1362,NridgHt,2005,2,194700
6,848,CollgCr,2004,2,141000
10,4316,NoRidge,1994,3,755000
7,2519,Timber,1989,2,335000
5,1073,OldTown,1921,1,108480
5,1539,BrkSide,1936,2,141500
6,1137,Timber,1987,2,176000
5,616,BrkSide,1921,1,89000
5,1148,Edwards,1952,1,123500
5,894,Sawyer,1965,1,138500
7,1391,Somerst,2004,2,196000
8,1800,Timber,2002,3,312500
7,1164,NWAmes,1969,2,140000
8,2576,StoneBr,2006,3,361919
5,1812,OldTown,1900,2,140000
7,1484,CollgCr,2004,2,213000
4,1092,IDOTRR,1930,0,55000
7,1824,ClearCr,1971,2,302000
8,1324,NridgHt,2006,2,254000
7,1456,Gilbert,2007,2,179540
5,904,Sawyer,1966,1,109900
3,729,BrkSide,1935,0,52000
4,1178,IDOTRR,1900,1,102776
8,1228,StoneBr,1988,2,189000
4,960,BrkSide,1970,2,129000
6,1479,Sawyer,1976,2,130500
6,1350,NWAmes,1974,2,165000
7,2554,OldTown,1890,2,159500
5,1178,NWAmes,1973,2,157000
7,2418,NoRidge,1993,3,341000
5,971,CollgCr,1969,1,128500
8,1742,StoneBr,1985,2,275000
6,848,CollgCr,2004,2,143000
4,864,NAmes,1970,2,124500
4,1470,Edwards,1954,1,135000
9,1698,Edwards,2007,3,320000
4,864,NAmes,1970,2,120500
6,1680,Crawfor,1988,2,222000
7,1232,CollgCr,2007,2,194500
5,1776,NAmes,1958,3,110000
4,1208,IDOTRR,1925,2,103000
8,1616,StoneBr,1995,2,236500
7,1146,Timber,2003,2,187500
7,2031,CollgCr,1998,2,222500
5,1144,Sawyer,1961,1,131400
5,948,Sawyer,1968,1,108000
7,1768,OldTown,1914,2,163000
3,1040,NAmes,1950,2,93500
8,1801,Gilbert,2005,3,239900
5,1200,Edwards,1987,0,179000
7,1728,CollgCr,2004,2,190000
5,1432,OldTown,1910,2,132000
6,912,Sawyer,1961,1,142000
7,1349,SawyerW,2000,2,179000
5,1464,Sawyer,1963,2,175000
8,1337,StoneBr,1993,2,180000
8,2715,NWAmes,1976,2,299800
7,2256,Gilbert,2000,2,236000
7,2640,OldTown,1880,4,265979
7,1720,NoRidge,1996,2,260400
4,1529,Edwards,1945,1,98000
4,1140,OldTown,1910,0,96500
7,1320,Gilbert,2003,2,162000
6,1494,CollgCr,1997,2,217000
8,2098,NridgHt,2005,3,275500
6,1026,NAmes,1969,2,156000
